,group4,shh,shh,shh,group4,group3,group3,shh,group3,group4,group3,group4,group4,wnt,group4,group4,group4,shh,shh,wnt,group4,shh,group4,group4,shh,group3
let-7a-2-3p,2.10E-05,6.61E-05,3.06E-05,0.000144096,0.000139986,1.24E-05,3.70E-05,0.000107974,7.78E-05,0.000214318,1.55E-06,5.97E-05,3.14E-05,0.000423907,1.40E-05,5.00E-05,0.000137161,0.000123844,0.000105754,0.000356709,6.10E-06,0.000182447,6.15E-05,3.97E-05,0.000428045,1.37E-05
let-7a-3p,0.00039582,0.000755926,0.000265969,0.000397356,0.000123708,6.18E-05,9.77E-05,0.000110321,0.000323005,0.000421073,4.80E-05,0.000321518,0.000118312,0.00020578,0.000288301,0.000260918,0.000168251,0.000400515,0.000586457,0.000120014,0.000274539,0.000429286,0.000240254,0.000246328,0.000191166,0.000232275
let-7a-5p,0.623749194,0.949853776,0.360419055,1,0.551273871,0.25166893,0.396679712,0.209708237,0.729034574,0.55672128,0.101428839,0.859749124,0.551875005,0.642276255,0.798152083,0.781232464,0.458397113,0.368937923,0.920765855,0.493605899,0.763450897,1,0.675142616,0.621175461,0.661499653,0.953280775
let-7b-5p,0.235731742,0.459210719,0.182325514,0.541517112,0.232158321,0.045792615,0.095475948,0.101647771,0.35030506,0.195960222,0.018495419,0.279339693,0.235117431,0.203787997,0.245753372,0.265800751,0.166863265,0.180769464,0.397982974,0.227093918,0.283992533,0.48627895,0.28913771,0.272720771,0.322799829,0.273073823
let-7c-3p,0.001238437,0.000311819,0.000541354,0.00070738,0.001113375,0.000145931,0.001044116,0.000415464,0.004270846,0.000789196,0.000238631,0.001102348,0.000960984,0.000810773,0.002413359,0.001647717,0.000978418,0.000355721,0.001148878,0.00047339,0.001491663,0.000504411,0.001190097,0.000997231,0.00018701,0.000478214
let-7c-5p,0.397037348,0.488998918,0.209765076,0.670771219,0.385673918,0.093761826,0.295309563,0.120648781,0.547715038,0.318187319,0.051469825,0.447631558,0.357060936,0.252405568,0.471158273,0.465113785,0.29131439,0.226351805,0.434059674,0.263464949,0.453822501,0.510903861,0.46436693,0.447720871,0.34103537,0.383431936
let-7d-3p,0.002096046,0.01745716,0.009398368,0.011182722,0.002171408,0.002515453,0.002313895,0.003664061,0.011622204,0.00186331,0.000691099,0.003311639,0.002173078,0.006881281,0.004710467,0.004803757,0.002366492,0.008084087,0.015709348,0.01300156,0.003575111,0.01209513,0.001609145,0.003114856,0.015712986,0.003279181
let-7d-5p,0.052650044,0.1952131,0.07063722,0.117446968,0.040325679,0.039104529,0.034162788,0.037255592,0.104420385,0.061527057,0.009525079,0.077513469,0.034875495,0.098099416,0.051782584,0.057230477,0.03531815,0.077415411,0.131198054,0.079172834,0.053940858,0.1170126,0.053420272,0.066401268,0.099821717,0.062891965
let-7e-3p,0.000542753,0.001015775,0.000623733,0.000838377,0.000615286,0.000665346,0.000383965,0.000234725,0.000580213,0.000511843,0.000426126,0.001276887,0.00046359,0.000938357,0.000734703,0.000789904,0.000561447,0.000692997,0.001220984,0.000940113,0.000765659,0.001100045,0.000463747,0.000738984,0.001899189,0.000856231
let-7e-5p,0.029224703,0.047930417,0.020225438,0.047075725,0.032463685,0.035082772,0.027756634,0.014290073,0.033586553,0.027810976,0.024563453,0.048563043,0.022102622,0.027883183,0.035275025,0.033183097,0.019409255,0.030325867,0.047685659,0.03469083,0.034302152,0.051669922,0.025696039,0.032221282,0.067011873,0.047069915
